"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted"
"432",91.0400009155273,94.1800003051758,90.620002746582,93.0800018310547,133323000,86.4712600708008
"433",94.0699996948242,97.0699996948242,93.4199981689453,95,122809300,88.2549209594727
"434",95.7399978637695,97.9000015258789,90.2799987792969,95.8199996948242,181387700,89.0167083740234
"435",96.3300018310547,96.4000015258789,92.4499969482422,95.1600036621094,154077300,88.4035873413086
"436",95.1699981689453,97.9499969482422,95.0500030517578,97.6999969482422,114220400,90.7632369995117
"437",97.9199981689453,98.6900024414062,95.8300018310547,96.3600006103516,96545300,89.9063873291016
"438",97,98.9800033569336,96.3199996948242,98.3600006103516,101128100,91.7724304199219
"439",97.8399963378906,100.860000610352,97.2300033569336,100.790000915527,113626000,94.039680480957
"440",101.26000213623,102.690002441406,100.379997253418,101.629997253418,122316200,94.8234252929688
"441",101.01000213623,102.029998779297,100.069999694824,100.129997253418,162739400,93.4238815307617
"442",100.01000213623,102.519996643066,99.4199981689453,100.410003662109,140541200,93.6851425170898
"443",100,100.110000610352,97.2600021362305,98.6100006103516,148332800,92.0056838989258
"444",98.0999984741211,101.430000305176,98,101.160003662109,72446800,94.3848876953125
"445",101.650001525879,105.599998474121,101.099998474121,105.430000305176,106120800,98.3689193725586
"446",105.400001525879,108.199996948242,103.889999389648,106.269996643066,173358100,99.1526641845703
"447",106.300003051758,111.150001525879,106.129997253418,107.680000305176,155103100,100.468223571777
"448",107.190002441406,108.089996337891,104.76000213623,108.040000915527,130716100,100.80411529541
"449",108.120002746582,110.160003662109,107.559997558594,109,83694500,101.699829101562
"450",109.23999786377,109.75,106.690002441406,107.580001831055,104689400,100.761199951172
"451",107.51000213623,108.559997558594,105.779998779297,108.400001525879,94198400,101.529220581055
"452",109.269996643066,112.779998779297,108.51000213623,112.330001831055,105653200,105.210136413574
"453",110.849998474121,111.959999084473,107.230003356934,108.209999084473,101483200,101.351264953613
"454",108.839996337891,113.730003356934,108.360000610352,113.370002746582,109098700,106.184219360352
"455",113.690002441406,115.290000915527,111.040000915527,114.26000213623,159580000,107.01781463623
"456",113.029998779297,115.099998474121,112.220001220703,114.370002746582,110093600,107.120834350586
"457",114.75,116.180000305176,110.639999389648,112.129997253418,120208900,105.022834777832
"458",111.660003662109,113.080001831055,104.199996948242,109.569999694824,228861900,102.625068664551
"459",108.910003662109,111.809997558594,106.949996948242,108.660003662109,155518200,101.772750854492
"460",109.319999694824,110.540000915527,101.589996337891,106.959999084473,251383700,100.180488586426
"461",108.110000610352,108.699996948242,100.110000610352,106.160003662109,242639700,99.4312133789062
"462",106.370002746582,112.23999786377,105.900001525879,109.569999694824,147847300,102.625068664551
"463",109.419998168945,109.959999084473,103.910003662109,108.290000915527,180498800,101.864372253418
